,Component,Use Case,Source,Threat,Risk response,Inherent Risk,Current Risk,Countermeasure Progress,Weakness Tests,Countermeasure Tests,Projected Risk,Owner,Threat abbv
116,SMS Notifications,Deployment,Created by rules engine,Excessive Allocation,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Excessive Allocation
117,SMS Notifications,General,Created by rules engine,Attackers compromise images by modifying their content,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Image Tampering
118,SMS Notifications,General,Created by rules engine,Attackers gain access to the sensitive data through injecting code in the repositories,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Code Injection
119,SMS Notifications,General,Created by rules engine,Availability is compromised through attacks against scalability configuration,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Scalability Attack
120,SMS Notifications,General,Created by rules engine,Sensitive data is compromised by unauthorized access to container volumes,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Container Access
121,SMS Notifications,Logging and Monitoring,Created by rules engine,Exploitation of insufficient logging and monitoring,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Insufficient Logging
122,SMS Notifications,Networking,Created by rules engine,Sensitive data is compromised through network access,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Network Compromise
123,Web Client,General,Created by rules engine,An adversary embeds malicious scripts in content that will be served to web browsers,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Cross-Site Scripting
124,Web Client,General,Created by rules engine,Application contains security vulnerabilities not identified during the development process,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Security Misconfiguration
125,Web Client,General,Created by rules engine,Attackers gain unauthorised access to data or services by accessing a client side secret,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Client-Side Secret
126,Web Client,General,Created by rules engine,Attackers gain unauthorised access to the application by the use of deprecated client-side technologies,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,Tomasz Skrond,Deprecated Technology
127,Web Client,Read or Post data,Created by rules engine,Attackers could gain access to sensitive data through a man in the middle attack,Planned Mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,Tomasz Skrond,Man-in-the-Middle Attack
